Ingredient,CAS_EC,SCCS_Number,Date_Avis,Verdict,Concentration_Max,Lien_Source,Type_Rapport,Categorie
Sodium bromothymol blue (C186),34722-90-2 / 252-169-7,SCCS/1645/22,2023-03-22,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Hair Dye
Hydroxyapatite (nano) - Submission IV,1306-06-5,SCCS/1677/25,2025-06-26,Safe,"Safe up to 10% in toothpaste, 0.465% in mouthwash",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Nanomaterial
Titanium Dioxide (nano) - New coating,13463-67-7 / 236-675-5,SCCS/1667/24,2024-10-25,Safe,Safe with new coating under specified conditions,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Nanomaterial
"Fullerenes, Hydroxylated Fullerenes (nano)",N/A (multiple),SCCS/1649/23,2023-10-26,Données Insuffisantes,N/A - Insufficient data for safety conclusion,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Nanomaterial
Hydroxyapatite (nano),1306-06-5,SCCS/1648/22,2023-03-22,Safe,"Safe up to 10% in toothpaste, 0.465% in mouthwash",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Nanomaterial
Thiomersal and Phenylmercuric salts,54-64-8 / 200-210-4,SCCS/1686/25,2026-02-02,Not Safe,Mercury-based preservatives - safety concerns,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Preservative
Butylparaben (children exposure),94-26-8 / 202-318-7,SCCS/1674/25,2025-04-30,Not Safe,Not safe for children 0.5-10 years at 0.14% in combination,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Preservative
Biphenyl-2-ol / Sodium 2-biphenylolate,90-43-7 / 201-993-5 and 132-27-4 / 205-055-6,SCCS/1669/24,2024-10-25,Restriction Recommandée,Restrictions on use conditions,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Preservative
Silver Zinc Zeolite,130328-20-0 / 603-404-0,SCCS/1650/23,2023-12-21,Données Insuffisantes,N/A - Insufficient data,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Preservative
Methylparaben,99-76-3 / 202-785-7,SCCS/1652/23,2023-12-14,Safe,"Safe up to 0.4% (acid) alone, 0.8% (acid) in mixtures",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Preservative
Butylparaben,94-26-8 / 202-318-7,SCCS/1651/23,2023-10-26,Restriction Recommandée,Safe up to 0.14% (as acid); concerns for children remain,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Preservative
Triclocarban / Triclosan,101-20-2 / 3380-34-5,SCCS/1643/22,2022-10-25,Not Safe,"Triclosan: max 0.03% shower gel, 0.2% mouthwash; Triclocarban: max 0.2% preservative, 1.5% rinse-off",https://health.ec.europa.eu/publications/safety-triclocarban-and-triclosan-substances-potential-endocrine-disrupting-properties-cosmetic_en,Final Scientific Advice,Preservative
Ethylhexyl Methoxycinnamate (EHMC),5466-77-3 / 226-775-7,SCCS/1671/24,2025-06-26,Restriction Recommandée,"Safe up to 10% in sunscreen, face/hand cream, lipstick, sprays",https://health.ec.europa.eu/publications/sccs-opinion-ethylhexyl-methoxycinnamate-ehmc-cas-no-5466-77-383834-59-7-ec-no-226-775-7629-661-9_en,Final Opinion,UV Filter
DHHB (Diethylamino Hydroxybenzoyl Hexyl Benzoate),302776-68-7 / 443-860-6,SCCS/1678/25,2025-06-26,Restriction Recommandée,Safe up to 10% with DnHexP impurity max 0.026% (target 1 ppm),https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,UV Filter
Benzophenone-2 (BP-2) / Benzophenone-5 (BP-5),131-55-5 / 4065-45-6,SCCS/1679/25,2025-06-26,Not Safe,"Cannot conclude on safety - genotoxicity cannot be excluded, endocrine active",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,UV Filter
Benzophenone-1 (BP-1),131-56-6 / 205-029-4,SCCS/1672/24,2025-03-27,Not Safe,"Not safe - genotoxicity concerns remain, ED concerns",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,UV Filter
Titanium Dioxide (TiO2) - non-nano,13463-67-7 / 236-675-5,SCCS/1661/23,2024-05-13,Restriction Recommandée,Restrictions for certain applications; safe as colorant/UV filter under Annexes III/IV/VI,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,UV Filter
Benzophenone-4 (BP-4),4065-45-6 / 223-772-2,SCCS/1660/23,2024-03-27,Restriction Recommandée,Safe up to 5% as UV filter in all product types,https://health.ec.europa.eu/publications/benzophenone-4-cas-no-4065-45-6-ec-no-223-772-2_en,Final Opinion,UV Filter
4-Methylbenzylidene Camphor (4-MBC),36861-47-9,SCCS/1639/21,2022-04-29,Not Safe,Not safe at 4% - banned by EU Reg 2024/996; ED + genotoxicity concerns,https://health.ec.europa.eu/publications/4-methylbenzylidene-camphor-4-mbc_en,Final Opinion,UV Filter
"Prostaglandin Analogues (MDN, IPCP, DDDE)",Multiple,SCCS/1680/25,2026-02-02,Not Safe,Safety concerns near eye area; non-genotoxic carcinogenicity cannot be excluded,https://health.ec.europa.eu/publications/sccs-prostaglandin-analogues-methylamido-dihydro-noralfaprostal-mdn-isopropyl-cloprostenate-ipcp_en,Scientific Opinion,Other
Tea Tree Oil (TTO),68647-73-4 / 285-377-1,SCCS/1681/25,2025-10-30,Restriction Recommandée,"Max 2.0% shampoo, 1.0% shower gel, 1.0% face wash, 0.1% face cream",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Salicylic Acid (children exposure),69-72-7 / 200-712-3,SCCS/1675/25,2025-04-30,Not Safe,Not safe at 0.5% as preservative in all cosmetic products,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Triphenyl phosphate,115-86-6 / 204-112-2,SCCS/1664/24,2024-07-25,Données Insuffisantes,N/A - Data insufficient for conclusion,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Aluminium compounds (Submission IV),Multiple Al compounds,SCCS/1662/23,2024-03-27,Restriction Recommandée,"Safe: 6.25% non-spray deodorant/AP, 10.60% spray deodorant/AP; aggregated food+cosmetics may exceed limits",https://health.ec.europa.eu/publications/safety-aluminium-cosmetic-products-submission-iv_en,Final Opinion,Other
Water-soluble zinc salts (oral hygiene) - Sub. II,Multiple Zn salts,SCCS/1657/23,2023-10-26,Safe,Safe under conditions of use in oral hygiene products,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Salicylic Acid,69-72-7 / 200-712-3,SCCS/1646/22,2023-06-07,Safe,Safe under current conditions of use,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Aluminium compounds (Submission III),Multiple Al compounds,SCCS/1644/22,2023-02-01,Restriction Recommandée,Restrictions on concentration for different product types,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Alpha-arbutin / Beta-arbutin,84380-01-8 / 497-76-7,SCCS/1642/22,2023-01-31,Safe,"Alpha-arbutin: 2% face cream, 0.5% body lotion; Beta-arbutin: 7% face cream",https://health.ec.europa.eu/publications/safety-alpha-arbutin-and-beta-arbutin-cosmetic-products_en,Final Opinion,Other
"Vitamin A (Retinol, Retinyl Acetate, Retinyl Palmitate) - Revision",68-26-8 / 127-47-9 / 79-81-2,SCCS/1639/21,2022-10-25,Restriction Recommandée,"Max 0.05% retinol eq. body lotion, 0.3% retinol eq. face/hand cream",https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Revision Opinion,Other
Genistein / Daidzein,446-72-0 / 486-66-8,SCCS/1641/22,2022-09-16,Restriction Recommandée,Genistein: max 0.007%; Daidzein: max 0.02% (daidzein genotoxicity inconclusive),https://health.ec.europa.eu/publications/genistein-and-daidzein_en,Final Opinion,Other
Kojic Acid,501-30-4,SCCS/1637/21,2022-03-16,Restriction Recommandée,Max 0.7% as skin whitening agent (down from 1%),https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Final Opinion,Other
Prostaglandins and analogues,Multiple,SCCS/1635/21,2022-02-03,Not Safe,Not safe in eyelash products - pharmacological effects at low concentrations,https://health.ec.europa.eu/publications/prostaglandins-and-prostaglandin-analogues-used-cosmetic-products_en,Final Opinion,Other
HAA299 (nano),N/A,SCCS/1634/21,2021-10-27,Données Insuffisantes,N/A - Insufficient data,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
"Platinum (nano), Colloidal Platinum (nano)",7440-06-4,SCCS/1630/21,2021-06-25,Données Insuffisantes,N/A - Insufficient data for safety assessment,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
"Gold (nano), Colloidal Gold (nano)",7440-57-5,SCCS/1629/21,2021-06-25,Données Insuffisantes,N/A - Insufficient data for safety assessment,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Hydroxyapatite (nano) - 2021,1306-06-5,SCCS/1624/20,2021-03-31,Données Insuffisantes,N/A - Original assessment before Submission IV,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
"Copper (nano), Colloidal Copper (nano)",7440-50-8,SCCS/1621/20,2021-03-05,Données Insuffisantes,N/A - Insufficient data,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Synthetic Amorphous Silica (SAS) solubility,Multiple,SCCS/1606/19,2019-06-21,Safe,Soluble fraction safe under conditions specified,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Colloidal Silver (nano),7440-22-4,SCCS/1596/18,2018-10-25,Données Insuffisantes,N/A - Insufficient data provided by applicants,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Styrene/Acrylates copolymer (nano),25085-34-1,SCCS/1595/18,2018-06-22,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Titanium Dioxide (nano) as UV-Filter in sprays,13463-67-7,SCCS/1583/17,2018-01-19,Restriction Recommandée,Restrictions for spray applications - inhalation concerns,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Titanium Dioxide (nano) coated forms - dermal,13463-67-7,SCCS/1580/16,2017-03-07,Safe,Safe in dermally applied cosmetics with specified coatings,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Nanomaterial
Methyl salicylate,119-36-8,SCCS/1633/21,2021-10-27,Restriction Recommandée,Restrictions for certain product types,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Fragrance
Methyl-N-methylanthranilate (MNM),85-91-6,SCCS/1616/20,2020-10-16,Restriction Recommandée,Restrictions based on sensitisation concerns,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Scientific Advice,Fragrance
Butylphenyl methylpropional (p-BMHCA / Lilial),80-54-6,SCCS/1591/17,2019-05-10,Not Safe,"Not safe - CMR classification, banned in EU from March 2022",https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Fragrance
Acetylated Vetiver Oil (AVO) - Submission III,84082-84-8 / 282-031-1,SCCS/1599/18,2019-02-26,Restriction Recommandée,Restrictions on use concentration,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Fragrance
Acid Yellow 3 (C054),8004-92-0 / 305-897-5,SCCS/1631/21,2021-07-23,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Resorcinol,108-46-3,SCCS/1619/20,2021-03-31,Safe,Safe under conditions of use as hair dye,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Indigofera tinctoria (C170) - hair dye,84775-63-3,SCCS/1615/20,2020-04-03,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Dihydroxyacetone (DHA),96-26-4,SCCS/1612/19,2020-03-04,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Tetrabromophenol Blue (C183) - Submission IV,4430-25-5,SCCS/1610/19,2019-12-13,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Methylimidazoliumpropyl p-phenylenediamine HCl (A166),220158-86-1,SCCS/1609/19,2019-10-31,Données Insuffisantes,N/A - Insufficient data,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Hydroxypropyl p-phenylenediamine (A165) - 2019,73793-79-0,SCCS/1608/19,2019-10-31,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
"1,2,4-Trihydroxybenzene (A33) - hair dye",533-73-3,SCCS/1598/18,2019-06-21,Not Safe,Not safe - genotoxicity concerns,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Dimethylpiperazinium Aminopyrazolopyridine HCl (A164),N/A,SCCS/1584/17,2017-06-06,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Basic Blue 99 (C059) - 2017,68123-13-7 / 268-544-3,SCCS/1585/17,2017-06-06,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
HC Orange No. 6 (B125),N/A,SCCS/1579/16,2016-11-07,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
"N,N'-Bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine (B34)",N/A,SCCS/1572/16,2016-09-16,Données Insuffisantes,N/A,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Hair Dye
Propylparaben,94-13-3,SCCS/1623/20,2021-03-31,Safe,Safe up to 0.14% (as acid),https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Zinc Pyrithione (ZPT) - Submission III,13463-41-7,SCCS/1614/19,2020-03-04,Not Safe,Not safe for use in cosmetics - CMR classification pending,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Ethylzingerone / HEPB - Submission II,569646-79-3,SCCS/1604/18,2019-03-05,Safe,Safe under conditions of use (eye irritation assessed),https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Polyaminopropyl Biguanide (PHMB) - Submission III,32289-58-0 / 27083-27-8,SCCS/1581/16,2017-04-07,Not Safe,Not safe at 0.3%; CMR classification - prohibited from Jan 2015,https://health.ec.europa.eu/publications/polyaminopropyl-biguanide-phmb-submission-iii_en,Final Opinion,Preservative
Ethylzingerone / HEPB,569646-79-3,SCCS/1582/16,2017-04-07,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Preservative EcoG+,N/A,SCCS/1577/16,2016-10-06,Données Insuffisantes,N/A - Insufficient data,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Phenoxyethanol,122-99-6,SCCS/1575/16,2016-10-06,Safe,Safe up to 1.0% as preservative,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Preservative
Homosalate - Scientific Advice,118-56-9 / 204-260-8,SCCS/1638/21,2021-12-02,Restriction Recommandée,Reduced max concentration recommended (from 10%),https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Scientific Advice,UV Filter
Homosalate,118-56-9 / 204-260-8,SCCS/1622/20,2021-06-25,Restriction Recommandée,Safe up to 7.34% (reduced from 10%),https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,UV Filter
Octocrylene,6197-30-4,SCCS/1627/21,2021-03-31,Restriction Recommandée,Safe up to 10% individual use; 9% in propellant spray combined use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,UV Filter
Benzophenone-3 (BP-3),131-57-7 / 205-031-5,SCCS/1625/20,2021-03-31,Not Safe,"Not safe at 6% in sunscreen body cream/sprays; safe at 2.2% sunscreen, 0.5% formulation protection",https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,UV Filter
Methoxypropylamino Cyclohexenylidene Ethoxyethylcyanoacetate (S87) - Sub II,N/A,SCCS/1605/19,2019-12-13,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,UV Filter
Phenylene Bis-Diphenyltriazine (S86) - Sub II,55514-22-2,SCCS/1594/18,2018-07-30,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,UV Filter
Butylated Hydroxytoluene (BHT),128-37-0,SCCS/1636/21,2021-09-27,Safe,Safe under current conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Bisphenol A in clothing,80-05-7,SCCS/1620/20,2021-03-31,Not Safe,Not safe - endocrine disruptor concerns,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Titanium Dioxide (TiO2) - inhalation exposure,13463-67-7 / 236-675-5,SCCS/1617/20,2020-10-06,Not Safe,Not safe in products leading to inhalation exposure,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Aluminium compounds (Submission II),Multiple Al compounds,SCCS/1613/19,2020-03-04,Restriction Recommandée,Restrictions on concentration per product type,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Salicylic Acid (Submission I),69-72-7 / 200-712-3,SCCS/1601/18,2018-12-21,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
HEMA / Di-HEMA Trimethylhexyl Dicarbamate,868-77-9 / 41137-60-4,SCCS/1592/17,2018-06-22,Not Safe,Not safe - sensitisation concerns in nail products,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Water-soluble zinc salts (oral hygiene) - Sub I,Multiple Zn salts,SCCS/1586/17,2018-06-22,Safe,Safe under conditions of use,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
"Vitamin A (Retinol, Retinyl Acetate, Retinyl Palmitate)",68-26-8 / 127-47-9 / 79-81-2,SCCS/1576/16,2016-10-06,Restriction Recommandée,"Max 0.05% retinol eq. body lotion, 0.3% retinol eq. face/hand cream",https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Decamethylcyclopentasiloxane (D5),541-02-6,SCCS/1549/15,2016-07-29,Safe,Safe under current conditions of use in cosmetics,https://health.ec.europa.eu/scientific-committees/former-scientific-committees/scientific-committee-consumer-safety-2016-2021/sccs-opinions-2016-2021_en,Final Opinion,Other
Cannabidiol (CBD),13956-29-1 / 689-176-3,SCCS/1685/25,2025-10-30,Données Insuffisantes,N/A - Opinion being finalized,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Opinion,Other
Butylated Hydroxyanisole (BHA),25013-16-5,SCCS/1682/25,2025-10-30,Données Insuffisantes,N/A - Opinion being finalized (ED properties evaluation),https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,Scientific Advice,Other
Silver (micron-sized) - Preliminary Scientific Advice,7440-22-4 / 231-131-3,SCCS/1687/25,2025-12-17,Données Insuffisantes,N/A - Preliminary advice being finalized,https://health.ec.europa.eu/publications/sccs-scientific-advice-silver-used-cosmetic-products-casec-no-7440-22-4231-131-3_en,Preliminary Scientific Advice,Colorant
