ingredient,query,title,url,domain,year_detected,date_from_html,year_from_html,score,final_score,snippet,final_reasons,html_fetched
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS Opinion on the safety of Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products - Public Health,https://health.ec.europa.eu/publications/sccs-opinion-safety-silver-casec-no-7440-22-4231-131-3-used-cosmetic-products_en,health.ec.europa.eu,2024,,,17,17,"July 3, 2024 -2, the SCCS considers micron-sized particulate Silvernot safe at concentrations up to 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products when used alone or in combination.","source fiable (+3) : health.ec.europa.eu | keywords (+10) : cosmetic, opinion, safe, safety, sccs | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS Opinion on the safety of Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products - SCCS/1665/24 – Preliminary version - Archive ouverte HAL,https://hal.science/hal-04533782,hal.science,2024,,,17,17,"April 5, 2024 -Rousselle, M. Stepnik, T. Vanhaecke, ... as toxic for reproduction Cat. 2,does the SCCS consider micron-sized particulate Silver safe when used up to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-on cosmetic......","source non prioritaire mais acceptée (+1) : hal.science | keywords (+12) : cosmetic, opinion, safe, safety, sccs, toxic | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS - Opinions - Public Health - European Commission,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-opinions_en,health.ec.europa.eu,,,,17,17,Comments received during this period have been submitted to SCCS and will be discussed in the forthcoming working groups and plenary meetings with the view to finalising the Opinions. Scientific Advice on Silver used in cosmetic products (CAS/EC No. 7440-22-4/231-131-3) ... Scientific Opinion on Cannabidiol (CBD) (CAS/EC No. 13956-29- 1/ 689-176-3) used in cosmetic products ... Safety of Silver (CAS/EC No.,"source fiable (+3) : health.ec.europa.eu | keywords (+12) : cosmetic, opinion, safe, safety, sccs, scientific advice | weak signals (+2) : 1 | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS Issued the Final Opinion on the Safety of Silver - Regulatory News - Personal and Home Care Products - CIRS Group,https://www.cirs-group.com/en/cosmetics/sccs-issued-the-final-opinion-on-the-safety-of-silver,cirs-group.com,2024,,,17,17,"July 19, 2024 -... (1) In light of the data provided ... 2, does the SCCS considermicron-sized particulate Silver safe when used up to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-on cosmetic......","source non prioritaire mais acceptée (+1) : cirs-group.com | keywords (+12) : cosmetic, opinion, regulatory, safe, safety, sccs | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" ""used in cosmetic products"" SCCS",SCCS Opinion on the safety of Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products - SCCS/1665/24 – Final version - Archive ouverte HAL,https://hal.science/hal-04633690,hal.science,2024,,,17,17,"July 3, 2024 -In light of the data provided and taking under consideration the classification as toxic for reproduction Cat. 2, the SCCS considers micron-sized particulate Silvernot safe at concentrations up to 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products when used alone or in combination.","source non prioritaire mais acceptée (+1) : hal.science | keywords (+12) : cosmetic, opinion, safe, safety, sccs, toxic | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" ban restriction cosmetic Europe",EU Ban on Metallic Silver in Cosmetics: What Formulators Need to Know - GreenChem Finder,https://greenchemfinder.com/2025/11/18/silver-regulatory-update-for-cosmetics/,greenchemfinder.com,2025,,,17,17,"December 22, 2025 -Under Commission Regulation (EU) ... Regulation (EC) No 1223/2009. This meanssilver in nanomaterial form (particles between 1-100 nanometers) is now completely prohibited in cosmetic products sold in the European Union....","source non prioritaire mais acceptée (+1) : greenchemfinder.com | keywords (+13) : ban, cosmetic, prohibit, prohibited, regulation | très récent (+3) : 2025",False
silver,"""silver"" ban restriction cosmetic Europe",EU New Banned Cosmetic Ingredients in 2025 | Cosmeservice,https://cosmeservice.com/news/eu-cosmetics-update-new-bans-and-restrictions-on-fragrance-allergens-hair-dyes-and-preservatives/,cosmeservice.com,2025,,,17,17,"September 5, 2025 -Hydroxypropyl-p-phenylenediamine and its dihydrochloride salt→ new restrictions. Ammonium Silver Zinc Aluminum Silicate → authorized as a preservative.","source non prioritaire mais acceptée (+1) : cosmeservice.com | keywords (+11) : ban, banned, cosmetic, restriction | weak signals (+2) : 1 | très récent (+3) : 2025",False
silver,"""silver"" ban restriction cosmetic Europe",10 Restricted Ingredients Under EU Cosmetic Regulation - Allan Chemical Corporation | allanchem.com,https://allanchem.com/restricted-ingredients-eu-cosmetic-regulation/,allanchem.com,2025,,,17,17,"December 7, 2025 -The 2024 update specifically targets ...Prohibited materials now include colloidal silver (nano), colloidal gold (nano), copper (nano), colloidal copper (nano), gold (nano), platinum (nano), and related complexes...","source non prioritaire mais acceptée (+1) : allanchem.com | keywords (+13) : cosmetic, prohibit, prohibited, regulation, restricted | très récent (+3) : 2025",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",EU SCCS Updates Safety Opinion on Micron-Sized Silver ...,https://cosmetic.chemlinked.com/news/cosmetic-news/eu-sccs-updates-safety-opinion-on-micron-sized-silver-in-cosmetics,cosmetic.chemlinked.com,2025,,,16,16,"December 19, 2025 -Daily news of cosmetics regulatory and industrial updates in the globe especially China.","source non prioritaire mais acceptée (+1) : cosmetic.chemlinked.com | keywords (+12) : cosmetic, opinion, regulatory, safe, safety, sccs | très récent (+3) : 2025",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",SCCS ApprovesSilverSafety inCosmetics|Toxicityand... | LinkedIn,https://www.linkedin.com/posts/toxicity-and-human-body-thb-ltd_regulatoryupdates-regulatorycompliance-cosmeticsafety-activity-7415378120968462337-vEO4,linkedin.com,,,,16,16,"The newregulationprovides the better children`s protection by prohibiting the substances that are identified as hazardous, endocrine disruptors, skin allergens or damaging specific organs, including PFAS and bisphenols.","source blacklistée (-5) : linkedin.com | keywords (+21) : cosmetic, endocrine, hazard, prohibit, regulation, safe, safety, sccs, toxic, toxicity | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",TPO: a ban... that is not clear to everyone! - European Commission,https://cosmeticobs.com/en/articles/european-commission-45/tpo-a-ban-that-is-not-clear-to-everyone-8911,cosmeticobs.com,2021,,,16,16,"This is a first serious indication of a possible CMR 1 classification for the substance, which would then be banned under Article 15 of EuropeanCosmeticsRegulation1223/2009… • On 16 September 2021, the ECHA’s RAC validates this classification.","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+14) : ban, banned, cmr, cosmetic, echa, regulation | encore exploitable (+1) : 2021",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Silver: request for an Opinion to the SCCS - Regulation,https://cosmeticobs.com/en/articles/regulation-57/silver-request-for-an-opinion-to-the-sccs-7709,cosmeticobs.com,2023,,,16,16,"November 26, 2023 -The European Risk Assessment Committee (RAC) of ECHA issued in February 2023 an opinion recommending among others a “Toxic for Reproduction Category 2” classification for Silver.","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+13) : echa, opinion, regulation, risk, sccs, toxic | récent (+2) : 2023",False
silver,"""silver"" ""used in cosmetic products"" SCCS",SCCS Issued Preliminary Opinion on Silver Used in Cosmetic Products - Regulatory News - Personal and Home Care Products - CIRS Group,https://www.cirs-group.com/en/cosmetics/sccs-issued-preliminary-opinion-on-silver-used-in-cosmetic-products,cirs-group.com,2026,,,16,16,"January 13, 2026 -In light of the new data provided, ... Silver [100nm<particle diameter<1 mm]safe when used up to a maximum concentration of 0.2% in rinse-off and 0.3% in leave-on cosmetic products, as specified in Tables 5 and 6 [see link below]. ...","source non prioritaire mais acceptée (+1) : cirs-group.com | keywords (+10) : cosmetic, opinion, regulatory, safe, sccs | weak signals (+2) : 1 | très récent (+3) : 2026",False
silver,"""silver"" ""used in cosmetic products"" SCCS",SCCS - Scientific Advice on Silver used in cosmetic products (CAS/EC No. 7440-22-4/231-131-3) - SCCS/1687/25 - Preliminary Opinion - Archive ouverte HAL,https://hal.science/hal-05424560,hal.science,2025,,,16,16,"December 18, 2025 -Delmaar, A. Koutsodimou, H. Louro, ... micron-sized particulate Silver [100 nm < particle diameter < 1 mm]safe when used up to a maximum concentration of 0.2 % in rinse-off and 0.3 % in leave-on cosmetic products?...","source non prioritaire mais acceptée (+1) : hal.science | keywords (+10) : cosmetic, opinion, safe, sccs, scientific advice | weak signals (+2) : 1 | très récent (+3) : 2025",False
silver,"""silver"" ban restriction cosmetic Europe",VeilleNanos - Twelve nanomaterials banned and one restricted in European cosmetics,https://veillenanos.fr/en/twelve-nanomaterials-banned-and-one-restricted-in-european-cosmetics/,veillenanos.fr,2024,,,16,16,"March 19, 2024 -European regulation 2024/858 has ... Itbans the use of 12 nanomaterials (styrene acrylate copolymer, copper, silver, gold and platinum) and restricts the use of one nanomaterial (hydroxyapatite) in cosmetics.....","source non prioritaire mais acceptée (+1) : veillenanos.fr | keywords (+13) : ban, banned, cosmetic, regulation, restricted | récent (+2) : 2024",False
silver,"""silver"" ban restriction cosmetic Europe","EC Amends Cosmetics Regulation, Prohibiting and Restricting Certain Nanomaterials - Bergeson & Campbell, P.C.",https://www.lawbc.com/ec-amends-cosmetics-regulation-prohibiting-and-restricting-certain-nanomaterials/,lawbc.com,2025,,,16,16,"March 29, 2024 -From February 1, 2025, cosmetic products containing this substance and not complying with the restrictions shall not be placed on the EU market. From November 1, 2025, cosmetic products containing that substance shall not be made available on ...","source non prioritaire mais acceptée (+1) : lawbc.com | keywords (+10) : cosmetic, prohibit, regulation, restriction | weak signals (+2) : 1 | très récent (+3) : 2025",False
silver,"""silver"" ban restriction cosmetic Europe",New ban and restrictions for certain nanomaterials in cosmetics,https://coslaw.eu/new-ban-and-restrictions-for-certain-nanomaterials-for-use-in-cosmetics/,coslaw.eu,2024,,,15,15,"March 18, 2024 -Commission Regulation (EU) 2024/858 of 14 March 2024amending Regulation (EC) No 1223/2009 of the European Parliament and of the Council as regards the use of the nanomaterials Styrene/Acrylates copolymer, Sodium Styrene/Acrylates copolymer, ...","source non prioritaire mais acceptée (+1) : coslaw.eu | keywords (+10) : ban, cosmetic, regulation, restriction | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Silver: preliminary Opinion of the SCCS - SCCS,https://cosmeticobs.com/en/articles/sccs-44/silver-preliminary-opinion-of-the-sccs-8039,cosmeticobs.com,2024,,,14,14,"April 8, 2024 -The European Risk Assessment Committee (RAC) of ECHA issued in February 2023 an opinion recommending among others a “Toxic for Reproduction Category 2” classification for Silver.","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+11) : echa, opinion, risk, sccs, toxic | récent (+2) : 2024",False
silver,"""silver"" ban restriction cosmetic Europe","New regulations for silver, hexyl salicylate, and o-phenylphenol – Safety Assessment",https://www.cosmeticscare.eu/en/new-regulations-for-silver-hexyl-salicylate-and-o-phenylphenol/,cosmeticscare.eu,2026,,,14,14,"January 18, 2026 -Current changes to the use of silver ... III (permitted substances with restrictions):Silver (powder) [100 nm < particle diameter < 1 mm] will be permitted in toothpastes and mouthwashes, at a maximum concentration of 0.05%....","source non prioritaire mais acceptée (+1) : cosmeticscare.eu | keywords (+8) : regulation, restriction, safe, safety | weak signals (+2) : 1 | très récent (+3) : 2026",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCIENTIFIC ADVICE on on Silver used in cosmetic products ...,https://health.ec.europa.eu/document/download/fee553a1-d946-4ef3-9d8a-e45f325cbc3b_en?filename=sccs_o_309.pdf,health.ec.europa.eu,2025,,,13,13,"December 17, 2025 -Scientific advice on Silver (CAS/EC No. 7440-22-4/231-131-3) used in cosmetic products · _________________________________________________________________________________ ... SIMS analysis methodology. Still images extracted from video recordings of vertical ... SCCS: Figure with images available to the SCCS).","source fiable (+3) : health.ec.europa.eu | keywords (+7) : cosmetic, sccs, scientific advice | très récent (+3) : 2025",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",SCCS - Preliminary Opinion open for comments on Silver used in cosmetic products - Deadline: 23 February 2026 - Public Health,https://health.ec.europa.eu/latest-updates/sccs-preliminary-opinion-open-comments-silver-used-cosmetic-products-deadline-23-february-2026-2025-12-18_en,health.ec.europa.eu,2026,,,13,13,"December 18, 2025 -SCCS - Preliminary Opinion open for comments on Silver used in cosmetic products - Deadline: 23 February 2026","source fiable (+3) : health.ec.europa.eu | keywords (+7) : cosmetic, opinion, sccs | très récent (+3) : 2026",False
silver,"""silver"" cosmetic SCCS safety opinion Europe",Micron-sized Silver : preliminary Opinion of the SCCS - SCCS,https://cosmeticobs.com/en/articles/sccs-44/micron-sized-silver-preliminary-opinion-of-the-sccs-9102,cosmeticobs.com,2024,,,13,13,"In June 2024, the SCCS concluded in its Opinion (SCCS/1665/24) thatmicron-sized particulate Silver was not safe at concentrations up to 0.2% in rinse-off and 0.3 % in leave-on cosmetic products.","source non prioritaire mais acceptée (+1) : cosmeticobs.com | keywords (+8) : cosmetic, opinion, safe, sccs | weak signals (+2) : 1 | récent (+2) : 2024",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",U.S.RegulatoryUpdate: How to AnticipateCosmeticIngredient Bans...,https://www.cosmeticsandtoiletries.com/regulations/regional/article/22948119/us-regulatory-update-how-to-anticipate-cosmetic-ingredient-bans-in-the-eu,cosmeticsandtoiletries.com,,,,13,13,"This article explains howcosmeticingredients arerestrictedin the EU. It also offers strategies to help global product developers anticipate bans, plan reformulations and stay compliant with evolvingregulations.","source non prioritaire mais acceptée (+1) : cosmeticsandtoiletries.com | keywords (+12) : ban, cosmetic, regulation, regulatory, restricted | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" ""used in cosmetic products"" SCCS",Scientific Committee on Consumer Safety gives its scientific advice on Silver,https://www.specialchem.com/cosmetics/news/scientific-committee-on-consumer-safety-gives-its-scientific-advice-on-silver,specialchem.com,2026,,,13,13,"January 7, 2026 -In the light of the new data provided, ... considersmicron-sized particulate Silver [100nm<particle diameter<1 mm] safe when used up to a maximum concentration of 0.2% in rinse-off and 0.3% in leave-on cosmetic products, as specified ...","source non prioritaire mais acceptée (+1) : specialchem.com | keywords (+7) : cosmetic, safe, safety, scientific advice | weak signals (+2) : 1 | très récent (+3) : 2026",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Silver chloride - Substance Information - ECHA,https://echa.europa.eu/substance-information/-/substanceinfo/100.029.121,echa.europa.eu,,,,12,12,This list contains substances designated as preservatives which cosmetic products marketed in the European Union may contain. The list contains maximum concentration limits and other restrictions.,"source fiable (+3) : echa.europa.eu | keywords (+7) : cosmetic, echa, restriction | weak signals (+2) : 1 | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Cosmetics - ECHA,https://euon.echa.europa.eu/cosmetics1,euon.echa.europa.eu,,,,11,11,ECHA’s activities on nanomaterials under REACH and CLP · Final decisions from REACH compliance checks on dossiers with nanomaterials · Completed and planned REACH substance evaluations on nanomaterials · Effects of silver nanoforms on the environment · The Biocidal Products Regulation (BPR) and nanomaterials · Nanomaterials in biocidal products in the EU · Overview of REACH information requirements and available methods · Cosmetics ·,"source non prioritaire mais acceptée (+1) : euon.echa.europa.eu | keywords (+10) : clp, cosmetic, echa, reach, regulation | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",(PDF) An Insight into ChemicalsToxicityinCosmeticsand Their...,https://www.researchgate.net/publication/352522862_An_Insight_into_Chemicals_Toxicity_in_Cosmetics_and_Their_Health-Related_Perceptions,researchgate.net,2006,,,9,9,"‗Cosmetics‘wordoriginates from the Greek ―Kosmtikos‖ which denotes ‗expert in decoration‘ or. ‗to embellish‘ (Barel et al., 2006). The Council of EUregulationprovided the following. definition forcosmetic: ―Acosmeticproduct means any mixture or substance envisioned to be.","source non prioritaire mais acceptée (+1) : researchgate.net | keywords (+8) : cosmetic, regulation, toxic, toxicity | ancien (+0) : 2006",False
silver,"""silver"" ECHA CLP REACH cosmetic risk",Request for a scientific Opinion on Silver used in cosmetic products,https://www.linkedin.com/pulse/request-scientific-opinion-silver-used-cosmetic-products-cosmesafe-r4mwf?trk=article-ssr-frontend-pulse_more-articles_related-content-card,linkedin.com,2023,,,9,9,"November 30, 2023 -The European Risk Assessment Committee (RAC) of ECHA issued in February 2023 an opinion recommending among others a ‘Toxic for Reproduction Category 2’ classification for Silver.","source blacklistée (-5) : linkedin.com | keywords (+10) : cosmetic, echa, opinion, risk, toxic | weak signals (+2) : 1 | récent (+2) : 2023",False
silver,"""silver"" ban restriction cosmetic Europe",EU bans and restricts dozens of dangerous cosmetic ingredients,https://www.personalcareinsights.com/news/eu-bans-dangerous-cosmetic-ingredients.html,personalcareinsights.com,2025,,,9,9,"May 26, 2025 -The updated Annex III imposes strict usage limits on silver powder (non-nano form), allowing a maximum of 0.05% in toothpaste and mouthwash, and hexyl salicylate, a widely used fragrance compound.","source fiable (+1) : personalcareinsights.com | keywords (+5) : ban, cosmetic | très récent (+3) : 2025",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",JulyRegulatoryRoundup – Ceway Blog,https://news.ceway.eu/july-regulatory-roundup-2/,news.ceway.eu,,,,8,8,"AmmoniumSilverZinc Aluminum Silicate (Silverzinc zeolite): Added to Annex V with specific max concentrations.RestrictedUse Now Applies To: Aluminium-containing ingredients. Used in deodorants, toothpaste, skincare, haircare, and colorcosmetics.","source non prioritaire mais acceptée (+1) : news.ceway.eu | keywords (+7) : cosmetic, regulatory, restricted | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",(PDF)Regulatoryframework ofcosmeticin the European Union,https://www.academia.edu/94670625/Regulatory_framework_of_cosmetic_in_the_European_Union,academia.edu,2009,,,7,7,The EUCosmeticsRegulation1223/2009 mandates compliance but lacks stringent enforcement for personalizedcosmetics. Nanomaterials (NMs) incosmeticsrequire a nano-specificregulatoryframework due to their unique properties.,"source non prioritaire mais acceptée (+1) : academia.edu | keywords (+6) : cosmetic, regulation, regulatory | ancien (+0) : 2009",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",SilverNanoparticles inCosmetics,https://file.scirp.org/pdf/JCDSA_2016032814370646.pdf,file.scirp.org,,,,7,7,"This review is presented as a common interest insilvernanoparticles, their origin, activity, andtoxicityincosmetic. The application of nanotechnology and nanomaterials can be found in manycosmeticproducts including moisturizer, hair care products, makeup and sunscreen.","source non prioritaire mais acceptée (+1) : file.scirp.org | keywords (+6) : cosmetic, toxic, toxicity | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",State of the art in human risk assessment ofsilvercompounds in...,https://link.springer.com/article/10.1007/s00204-013-1083-8,link.springer.com,,,,7,7,"Finally, the presentations and discussion on risk assessment andregulationof nanosilver applications gave insights into different approaches of risk assessment of nanomaterials to be performed under the variousregulatoryframeworks.","source non prioritaire mais acceptée (+1) : link.springer.com | keywords (+6) : regulation, regulatory, risk | date non trouvée dans snippet/titre (+0)",False
silver,"""silver"" toxicity cosmetic regulation EU restriction",PrettyToxic: A Documentary Unveiling the... - Organic Consumers,https://organicconsumers.org/pretty-toxic-a-documentary-unveiling-the-dangerous-side-of-the-beauty-industry/,organicconsumers.org,,,,7,7,"“PrettyToxic” is an eye-opening film that exposes the shocking lack ofregulationin thecosmeticsand personal care products industry, along with the potential health consequences for consumers.1.","source non prioritaire mais acceptée (+1) : organicconsumers.org | keywords (+6) : cosmetic, regulation, toxic | date non trouvée dans snippet/titre (+0)",False
